City1,City2,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),Year,Month_num,dep latitude,dep longitude,arr latitude,arr longitude,Category 
ALBURY,SYDNEY,15654,384,68.3,452,2019,January,-36.07494,146.923935,-33.861481,151.205475,less_than_1k
ALBURY,SYDNEY,15694,449,63.4,452,2019,February,-36.07494,146.923935,-33.861481,151.205475,less_than_1k
ALBURY,SYDNEY,19333,537,66.6,452,2019,March,-36.07494,146.923935,-33.861481,151.205475,less_than_1k
ALBURY,SYDNEY,19015,497,69.9,452,2019,April,-36.07494,146.923935,-33.861481,151.205475,less_than_1k
ALBURY,SYDNEY,19771,542,67.7,452,2019,May,-36.07494,146.923935,-33.861481,151.205475,less_than_1k
ALBURY,SYDNEY,18094,483,69.1,452,2019,June,-36.07494,146.923935,-33.861481,151.205475,less_than_1k
ALBURY,SYDNEY,20910,541,71.1,452,2019,July,-36.07494,146.923935,-33.861481,151.205475,less_than_1k
ALBURY,SYDNEY,21380,525,75,452,2019,August,-36.07494,146.923935,-33.861481,151.205475,less_than_1k
ALBURY,SYDNEY,20194,521,72.7,452,2019,September,-36.07494,146.923935,-33.861481,151.205475,less_than_1k
ALBURY,SYDNEY,21479,534,74,452,2019,October,-36.07494,146.923935,-33.861481,151.205475,less_than_1k
ALBURY,SYDNEY,20654,525,73.3,452,2019,November,-36.07494,146.923935,-33.861481,151.205475,less_than_1k
ALBURY,SYDNEY,17971,460,70.9,452,2019,December,-36.07494,146.923935,-33.861481,151.205475,less_than_1k
ALBURY,SYDNEY,12665,323,68.4,452,2020,January,-36.07494,146.923935,-33.861481,151.205475,less_than_1k
ALBURY,SYDNEY,15546,459,64.1,452,2020,February,-36.07494,146.923935,-33.861481,151.205475,less_than_1k
ALBURY,SYDNEY,12140,435,52.6,452,2020,March,-36.07494,146.923935,-33.861481,151.205475,less_than_1k
ALBURY,SYDNEY,314,41,16.2,452,2020,April,-36.07494,146.923935,-33.861481,151.205475,less_than_1k
ALBURY,SYDNEY,416,33,23.7,452,2020,May,-36.07494,146.923935,-33.861481,151.205475,less_than_1k
ALBURY,SYDNEY,0,0,0,452,2020,June,-36.07494,146.923935,-33.861481,151.205475,less_than_1k
ALBURY,SYDNEY,0,0,0,452,2020,July,-36.07494,146.923935,-33.861481,151.205475,less_than_1k
ALBURY,SYDNEY,0,0,0,452,2020,August,-36.07494,146.923935,-33.861481,151.205475,less_than_1k
ALBURY,SYDNEY,0,0,0,452,2020,September,-36.07494,146.923935,-33.861481,151.205475,less_than_1k
ALBURY,SYDNEY,0,0,0,452,2020,October,-36.07494,146.923935,-33.861481,151.205475,less_than_1k
ALBURY,SYDNEY,0,0,0,452,2020,November,-36.07494,146.923935,-33.861481,151.205475,less_than_1k
ALBURY,SYDNEY,0,0,0,452,2020,December,-36.07494,146.923935,-33.861481,151.205475,less_than_1k
ADELAIDE,ALICE SPRINGS,10281,115,66.6,1316,2019,January,-34.928661,138.598633,-23.697479,133.883621,between_1k_2k
ADELAIDE,ALICE SPRINGS,9463,104,66.1,1316,2019,February,-34.928661,138.598633,-23.697479,133.883621,between_1k_2k
ADELAIDE,ALICE SPRINGS,11043,118,67.9,1316,2019,March,-34.928661,138.598633,-23.697479,133.883621,between_1k_2k
ADELAIDE,ALICE SPRINGS,14062,124,78.1,1316,2019,April,-34.928661,138.598633,-23.697479,133.883621,between_1k_2k
ADELAIDE,ALICE SPRINGS,12744,123,73.4,1316,2019,May,-34.928661,138.598633,-23.697479,133.883621,between_1k_2k
ADELAIDE,ALICE SPRINGS,12995,117,79.6,1316,2019,June,-34.928661,138.598633,-23.697479,133.883621,between_1k_2k
