City1,City2,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month_num,dep latitude,dep longitude,arr latitude,arr longitude,haul
ALBURY,SYDNEY,15654,384,68.3,452,7075608,10365716,22933,2019,January,-36.07494,146.923935,-33.861481,151.205475,below 1k
ALBURY,SYDNEY,15694,449,63.4,452,7093688,11180220,24735,2019,February,-36.07494,146.923935,-33.861481,151.205475,below 1k
ALBURY,SYDNEY,19333,537,66.6,452,8738516,13119752,29026,2019,March,-36.07494,146.923935,-33.861481,151.205475,below 1k
ALBURY,SYDNEY,19015,497,69.9,452,8594780,12300276,27213,2019,April,-36.07494,146.923935,-33.861481,151.205475,below 1k
ALBURY,SYDNEY,19771,542,67.7,452,8936492,13200208,29204,2019,May,-36.07494,146.923935,-33.861481,151.205475,below 1k
ALBURY,SYDNEY,18094,483,69.1,452,8178488,11836524,26187,2019,June,-36.07494,146.923935,-33.861481,151.205475,below 1k
ALBURY,SYDNEY,20910,541,71.1,452,9451320,13296032,29416,2019,July,-36.07494,146.923935,-33.861481,151.205475,below 1k
ALBURY,SYDNEY,21380,525,75,452,9663760,12892396,28523,2019,August,-36.07494,146.923935,-33.861481,151.205475,below 1k
ALBURY,SYDNEY,20194,521,72.7,452,9127688,12556560,27780,2019,September,-36.07494,146.923935,-33.861481,151.205475,below 1k
ALBURY,SYDNEY,21479,534,74,452,9708508,13126080,29040,2019,October,-36.07494,146.923935,-33.861481,151.205475,below 1k
ALBURY,SYDNEY,20654,525,73.3,452,9335608,12744140,28195,2019,November,-36.07494,146.923935,-33.861481,151.205475,below 1k
ALBURY,SYDNEY,17971,460,70.9,452,8122892,11456844,25347,2019,December,-36.07494,146.923935,-33.861481,151.205475,below 1k
ALBURY,SYDNEY,12665,323,68.4,452,5724580,8372396,18523,2020,January,-36.07494,146.923935,-33.861481,151.205475,below 1k
ALBURY,SYDNEY,15546,459,64.1,452,7026792,10958740,24245,2020,February,-36.07494,146.923935,-33.861481,151.205475,below 1k
ALBURY,SYDNEY,12140,435,52.6,452,5487280,10427188,23069,2020,March,-36.07494,146.923935,-33.861481,151.205475,below 1k
ALBURY,SYDNEY,314,41,16.2,452,141928,877784,1942,2020,April,-36.07494,146.923935,-33.861481,151.205475,below 1k
ALBURY,SYDNEY,416,33,23.7,452,188032,793712,1756,2020,May,-36.07494,146.923935,-33.861481,151.205475,below 1k
